
Executed at Wed, 20 Dec 2017 10:01:02 +0000
Executed at Thu, 21 Dec 2017 10:01:01 +0000
Executed at Fri, 22 Dec 2017 10:01:01 +0000
Executed at Sat, 23 Dec 2017 10:01:01 +0000
Executed at Sun, 24 Dec 2017 10:01:01 +0000
Executed at Mon, 25 Dec 2017 10:01:01 +0000
Executed at Tue, 26 Dec 2017 10:01:01 +0000
Executed at Wed, 27 Dec 2017 10:01:01 +0000
Executed at Thu, 28 Dec 2017 10:01:01 +0000
Executed at Fri, 29 Dec 2017 10:01:01 +0000
Executed at Sat, 30 Dec 2017 10:01:01 +0000
Executed at Sun, 31 Dec 2017 10:01:01 +0000
Executed at Mon, 01 Jan 2018 10:01:01 +0000
Executed at Tue, 02 Jan 2018 10:01:01 +0000
Executed at Wed, 03 Jan 2018 10:01:01 +0000
Executed at Thu, 04 Jan 2018 10:01:01 +0000
Executed at Fri, 05 Jan 2018 10:01:01 +0000
Executed at Sat, 06 Jan 2018 10:01:01 +0000
Executed at Sun, 07 Jan 2018 10:01:01 +0000
Executed at Mon, 08 Jan 2018 10:01:01 +0000
Executed at Tue, 09 Jan 2018 10:01:02 +0000
Executed at Wed, 10 Jan 2018 10:01:02 +0000
Executed at Thu, 11 Jan 2018 10:01:01 +0000
Executed at Fri, 12 Jan 2018 10:01:01 +0000
Executed at Sat, 13 Jan 2018 10:01:01 +0000
Executed at Sun, 14 Jan 2018 10:01:01 +0000
Executed at Mon, 15 Jan 2018 10:01:01 +0000
Executed at Tue, 16 Jan 2018 10:01:01 +0000
Executed at Wed, 17 Jan 2018 10:01:01 +0000
Executed at Thu, 18 Jan 2018 10:01:01 +0000
Executed at Fri, 19 Jan 2018 10:01:01 +0000
Executed at Sat, 20 Jan 2018 10:01:01 +0000
Executed at Sun, 21 Jan 2018 10:01:02 +0000
Executed at Mon, 22 Jan 2018 10:01:02 +0000
Executed at Tue, 23 Jan 2018 10:01:01 +0000
Executed at Wed, 24 Jan 2018 10:01:01 +0000
Executed at Thu, 25 Jan 2018 10:01:01 +0000
Executed at Fri, 26 Jan 2018 10:01:01 +0000
Executed at Sat, 27 Jan 2018 10:01:01 +0000
Executed at Sun, 28 Jan 2018 10:01:01 +0000
Executed at Mon, 29 Jan 2018 10:01:01 +0000
Executed at Tue, 30 Jan 2018 10:01:01 +0000
Executed at Wed, 31 Jan 2018 10:01:01 +0000
Executed at Thu, 01 Feb 2018 10:01:02 +0000
Executed at Fri, 02 Feb 2018 10:01:01 +0000
Executed at Sat, 03 Feb 2018 10:01:02 +0000
Executed at Sun, 04 Feb 2018 10:01:01 +0000
Executed at Mon, 05 Feb 2018 10:01:01 +0000
Executed at Tue, 06 Feb 2018 10:01:01 +0000
Executed at Wed, 07 Feb 2018 10:01:01 +0000
Executed at Thu, 08 Feb 2018 10:01:01 +0000
Executed at Fri, 09 Feb 2018 10:01:01 +0000
Executed at Sat, 10 Feb 2018 10:01:02 +0000
Executed at Sun, 11 Feb 2018 10:01:01 +0000
Executed at Mon, 12 Feb 2018 10:01:01 +0000
Executed at Tue, 13 Feb 2018 10:01:01 +0000
Executed at Wed, 14 Feb 2018 10:01:01 +0000
Executed at Thu, 15 Feb 2018 10:01:01 +0000
Executed at Fri, 16 Feb 2018 10:01:01 +0000
Executed at Sat, 17 Feb 2018 10:01:01 +0000
Executed at Sun, 18 Feb 2018 10:01:02 +0000
Executed at Mon, 19 Feb 2018 10:01:01 +0000
Executed at Tue, 20 Feb 2018 10:01:01 +0000
Executed at Wed, 21 Feb 2018 10:01:01 +0000
Executed at Thu, 22 Feb 2018 10:01:01 +0000
Executed at Fri, 23 Feb 2018 10:01:01 +0000
Executed at Sat, 24 Feb 2018 10:01:01 +0000
Executed at Sun, 25 Feb 2018 10:01:01 +0000
Executed at Mon, 26 Feb 2018 10:01:01 +0000
Executed at Tue, 27 Feb 2018 10:01:01 +0000
Executed at Wed, 28 Feb 2018 10:01:02 +0000
Executed at Thu, 01 Mar 2018 10:01:01 +0000
Executed at Fri, 02 Mar 2018 10:01:01 +0000
Executed at Sat, 03 Mar 2018 10:01:01 +0000
Executed at Sun, 04 Mar 2018 10:01:01 +0000
Executed at Mon, 05 Mar 2018 10:01:01 +0000
Executed at Tue, 06 Mar 2018 10:01:01 +0000
Executed at Wed, 07 Mar 2018 10:01:01 +0000
Executed at Thu, 08 Mar 2018 10:01:01 +0000
Executed at Fri, 09 Mar 2018 10:01:01 +0000
Executed at Sat, 10 Mar 2018 10:01:01 +0000
Executed at Sun, 11 Mar 2018 10:01:01 +0000
